Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
4/5/2018,6769.48375,536152,2.72E+19,4039700,385438508,1.51E+22,24.46293557,4385758.286,125.800003,37.619999,15.45,265.640015,119.790001,23.719999,3.145907759,18
4/6/2018,6766.5925,640370,2.41E+19,4037975,385697756,1.51E+22,34.53138383,4385412.571,126.389999,36.889999,15.43,259.720001,121.099998,23.629999,3.145907759,18
4/7/2018,6854.92125,499520,3.15E+19,4035725,385913476,1.51E+22,27.16559493,4385066.857,126.389999,36.889999,15.43,259.720001,121.099998,23.629999,3.145907759,18
4/8/2018,6964.4325,404612,2.82E+19,4033712.5,386110269,1.51E+22,21.01734283,4384721.143,126.389999,36.889999,15.43,259.720001,121.099998,23.629999,3.145907759,18
4/9/2018,7125.53875,543827,2.55E+19,4031875,386361409,1.51E+22,22.42407623,4384375.429,126.82,37.060001,15.56,261,121.300003,23.57,3.145907759,18
4/10/2018,6789.2675,565720,2.85E+19,4029825,386630566,1.51E+22,22.98846383,4384029.714,127.120003,38.299999,15.62,265.149994,121.080002,23.51,3.145907759,18
4/11/2018,6824.49375,539435,2.81E+19,4027812.5,386894321,1.51E+22,22.75353142,4383684,128.110001,38.73,15.69,263.76001,121.510002,23.49,3.145907759,18
4/12/2018,6941.63875,617401,2.72E+19,4025887.5,387190227,1.51E+22,35.70920887,4384001,126.620003,38.709999,15.52,265.929993,120.620003,23.540001,3.145907759,18
4/13/2018,7823.55875,646928,2.86E+19,4023825,387504213,1.51E+22,36.36336175,4384318,127.449997,39.169998,15.68,265.149994,120.900002,23.540001,3.145907759,18
4/14/2018,8040.88125,493652,2.63E+19,4022112.5,387743376,1.65E+22,23.75939568,4384635,127.449997,39.169998,15.68,265.149994,120.900002,23.540001,3.145907759,18
4/15/2018,8083.57375,587008,3.04E+19,4020075,388008601,1.65E+22,24.30501194,4384952,127.449997,39.169998,15.68,265.149994,120.900002,23.540001,3.145907759,18
4/16/2018,8160.4125,738311,2.70E+19,4018312.5,388297531,1.65E+22,25.73063079,4385269,127.629997,39.549999,15.72,267.329987,120.940002,23.459999,3.145907759,18
4/17/2018,8030.57,608580,3.10E+19,4016287.5,388596483,1.65E+22,26.13707878,4385586,127.75,39.740002,15.8,270.190002,121.269997,23.459999,3.145907759,18
4/18/2018,7937.61,589411,3.04E+19,4014287.5,388893085,1.65E+22,25.31797642,4385903,127.849998,40.41,16.18,270.390015,120.300003,23.51,3.145907759,18
4/19/2018,8188.71875,644586,3.40E+19,4012062.5,389207837,1.65E+22,27.6722839,4384043.429,127.599998,40.450001,16.26,268.890015,119.32,23.58,3.145907759,18
4/20/2018,8333.81374,653011,2.61E+19,4010350,389512342,1.65E+22,29.02296386,4382183.857,126.629997,40.220001,16.129999,266.609985,118.459999,23.719999,3.145907759,18
4/21/2018,8866.67,620004,3.07E+19,4008362.5,389795669,1.65E+22,28.40590158,4380324.286,126.629997,40.220001,16.129999,266.609985,118.459999,23.719999,3.145907759,18
4/22/2018,8830.05875,509549,3.01E+19,4006362.5,390046546,1.65E+22,21.73949684,4378464.714,126.629997,40.220001,16.129999,266.609985,118.459999,23.719999,3.145907759,18
4/23/2018,8868.16124,642648,2.92E+19,4004450,390359889,1.65E+22,29.13376866,4376605.143,125.620003,40.459999,15.67,266.570007,118.489998,23.870001,3.145907759,18
4/24/2018,9191.82,774308,3.06E+19,4002462.5,390723140,1.65E+22,65.4108642,4374745.571,126.230003,40.009998,15.76,262.980011,117.949997,23.84,3.145907759,18
4/25/2018,9373.3025,688526,2.40E+19,4000925,391034665,1.65E+22,91.73241634,4372886,125.410004,40.369999,15.61,263.630005,117.160004,23.940001,3.145907759,18
4/26/2018,8807.515,660410,2.65E+19,3999162.5,391348462,1.65E+22,67.58831497,4370492.143,124.970001,40.959999,15.58,266.309998,117.980003,24.049999,3.145907759,18
4/27/2018,9153.64125,675792,2.73E+19,3997387.5,391653624,1.73E+22,55.63050596,4368098.286,125.5,40.490002,15.57,266.559998,118.889999,24.030001,3.145907759,18
4/28/2018,9144.38375,562244,2.56E+19,3995787.5,391918835,1.73E+22,41.9470722,4365704.429,125.5,40.490002,15.57,266.559998,118.889999,24.030001,3.145907759,18
4/29/2018,9444.1425,541887,3.17E+19,3993812.5,392175959,1.73E+22,34.8862402,4363310.571,125.5,40.490002,15.57,266.559998,118.889999,24.030001,3.145907759,18
