PERMNO,date,TICKER,PRC
16289,2020/01/02,FINX,30.84000
16289,2020/01/03,FINX,30.66000
16289,2020/01/06,FINX,30.66000
16289,2020/01/07,FINX,30.63000
16289,2020/01/08,FINX,30.85000
16289,2020/01/09,FINX,31.06000
16289,2020/01/10,FINX,31.03000
16289,2020/01/13,FINX,31.43000
16289,2020/01/14,FINX,31.40000
16289,2020/01/15,FINX,31.58000
16289,2020/01/16,FINX,31.89000
16289,2020/01/17,FINX,31.90000
16289,2020/01/21,FINX,31.95000
16289,2020/01/22,FINX,32.27000
16289,2020/01/23,FINX,32.35000
16289,2020/01/24,FINX,32.44000
16289,2020/01/27,FINX,31.62000
16289,2020/01/28,FINX,32.33150
16289,2020/01/29,FINX,32.55000
16289,2020/01/30,FINX,32.54000
16289,2020/01/31,FINX,31.85470
16289,2020/02/03,FINX,32.43000
16289,2020/02/04,FINX,33.09000
16289,2020/02/05,FINX,32.93000
16289,2020/02/06,FINX,32.86000
16289,2020/02/07,FINX,32.65000
16289,2020/02/10,FINX,32.89000
16289,2020/02/11,FINX,32.98000
16289,2020/02/12,FINX,33.12000
16289,2020/02/13,FINX,33.41000
16289,2020/02/14,FINX,33.79000
16289,2020/02/18,FINX,33.87000
16289,2020/02/19,FINX,34.39000
16289,2020/02/20,FINX,34.01000
16289,2020/02/21,FINX,33.61000
16289,2020/02/24,FINX,32.26000
16289,2020/02/25,FINX,31.28000
16289,2020/02/26,FINX,31.15000
16289,2020/02/27,FINX,30.21000
16289,2020/02/28,FINX,30.10000
16289,2020/03/02,FINX,31.08000
16289,2020/03/03,FINX,30.56000
16289,2020/03/04,FINX,31.43000
16289,2020/03/05,FINX,30.24000
16289,2020/03/06,FINX,29.62000
16289,2020/03/09,FINX,26.84000
16289,2020/03/10,FINX,28.46900
16289,2020/03/11,FINX,26.85000
16289,2020/03/12,FINX,23.96000
16289,2020/03/13,FINX,26.09000
16289,2020/03/16,FINX,22.74000
16289,2020/03/17,FINX,23.25000
16289,2020/03/18,FINX,20.89000
16289,2020/03/19,FINX,21.25000
16289,2020/03/20,FINX,20.54000
16289,2020/03/23,FINX,20.29560
16289,2020/03/24,FINX,22.56000
16289,2020/03/25,FINX,23.61000
16289,2020/03/26,FINX,25.25830
16289,2020/03/27,FINX,24.05000
16289,2020/03/30,FINX,24.69000
16289,2020/03/31,FINX,24.16000
16289,2020/04/01,FINX,22.86000
